frame,bbox,face_detect_conf,sex_decfunc,sex_label
0,"(61, 100, 274, 313)",0.998,-9.418,f
0,"(951, -6, 1130, 172)",0.988,11.824,m
0,"(744, 17, 932, 206)",0.987,-6.632,f
0,"(557, 198, 733, 374)",0.934,18.387,m
0,"(312, 161, 497, 346)",0.809,-12.884,f
30,"(60, 107, 277, 324)",0.996,-11.011,f
30,"(944, -9, 1127, 173)",0.988,12.243,m
30,"(733, 17, 932, 215)",0.966,-5.252,f
30,"(563, 203, 739, 379)",0.891,15.734,m
30,"(311, 161, 496, 346)",0.797,-13.43,f
60,"(59, 108, 273, 322)",0.998,-9.906,f
60,"(944, -7, 1124, 172)",0.974,9.195,m
60,"(735, 14, 924, 203)",0.945,-8.104,f
60,"(564, 196, 741, 373)",0.808,9.707,m
90,"(37, 99, 262, 323)",0.999,-10.869,f
90,"(944, -7, 1120, 168)",0.925,11.567,m
90,"(734, 2, 923, 191)",0.891,-6.168,f
120,"(50, 97, 266, 312)",0.998,-11.245,f
120,"(948, -7, 1125, 169)",0.947,11.796,m
120,"(739, 0, 920, 180)",0.786,-5.001,f
120,"(317, 138, 474, 295)",0.68,-22.278,f
150,"(56, 104, 258, 306)",0.988,-6.446,f
150,"(571, 199, 731, 359)",0.832,15.446,m
150,"(942, -21, 1110, 146)",0.72,9.391,m
150,"(717, -7, 906, 181)",0.673,3.893,m
180,"(43, 104, 245, 307)",0.979,-8.372,f
180,"(570, 203, 727, 360)",0.886,17.621,m
180,"(776, -5, 903, 121)",0.882,-4.918,f
210,"(582, 198, 723, 340)",0.982,5.593,m
240,"(789, 83, 928, 222)",0.985,-7.377,f
240,"(250, 93, 411, 254)",0.954,-17.786,f
240,"(575, 220, 740, 385)",0.764,15.764,m
270,"(850, 61, 974, 184)",0.996,-8.581,f
270,"(260, 109, 401, 250)",0.993,-17.528,f
270,"(600, 231, 755, 386)",0.806,5.816,m
300,"(-15, 146, 203, 365)",0.998,-11.81,f
300,"(872, 90, 996, 215)",0.996,-9.389,f
300,"(332, 150, 466, 284)",0.975,-17.132,f
300,"(594, 253, 764, 424)",0.797,14.549,m
330,"(874, 92, 1009, 227)",0.998,-12.513,f
330,"(335, 167, 463, 295)",0.992,-18.17,f
330,"(609, 285, 769, 446)",0.861,10.891,m
