frame,bbox,detect_conf,sex_decfunc,sex_label
0,"(305, 164, 491, 349)",0.99574286,-14.333309921099026,f
0,"(553, 201, 735, 383)",0.978238,16.69937192856051,m
0,"(737, 14, 944, 221)",0.9637635,-5.117504471688411,f
0,"(59, 105, 253, 300)",0.8556464,-6.7519009488712065,f
1,"(305, 164, 492, 351)",0.9959662,-14.094087636134658,f
1,"(553, 201, 738, 386)",0.9622805,15.097818942796144,m
1,"(745, 19, 938, 213)",0.96215445,-9.01210601435099,f
1,"(55, 104, 251, 300)",0.83158195,-5.815265438228513,f
2,"(306, 165, 492, 351)",0.99624914,-13.710961734591095,f
2,"(744, 19, 939, 214)",0.9703775,-8.954356216403486,f
2,"(553, 201, 739, 388)",0.9544706,14.72578683578818,m
2,"(58, 106, 250, 298)",0.86744595,-6.099603419543733,f
3,"(306, 166, 492, 351)",0.9964206,-13.316444430339223,f
3,"(744, 19, 939, 214)",0.97379375,-8.16875983006946,f
3,"(554, 201, 740, 387)",0.95213443,15.716049294735422,m
3,"(58, 108, 250, 300)",0.85864466,-5.743321144402665,f
4,"(307, 166, 491, 351)",0.99650866,-13.406065289827188,f
4,"(745, 20, 937, 213)",0.97500503,-8.83443691517214,f
4,"(555, 201, 739, 386)",0.95410734,16.437051484224874,m
4,"(58, 109, 251, 301)",0.8427621,-5.7999530223112234,f
5,"(306, 166, 492, 351)",0.9962291,-14.181096467114404,f
5,"(744, 20, 935, 211)",0.9725988,-7.565295392580813,f
5,"(557, 202, 739, 383)",0.95993596,18.82545855343003,m
5,"(58, 108, 253, 303)",0.82253325,-6.872859192582145,f
6,"(307, 166, 492, 351)",0.99643886,-13.5741003352138,f
6,"(745, 20, 935, 210)",0.97014105,-8.177563090292573,f
6,"(559, 202, 738, 381)",0.9610399,19.25952620941434,m
6,"(58, 107, 256, 304)",0.7942642,-5.242931987727956,f
7,"(307, 165, 493, 351)",0.99653816,-13.265478935518328,f
7,"(745, 20, 935, 210)",0.97226214,-8.586449903544983,f
7,"(560, 202, 738, 380)",0.9610755,18.667340746204044,m
7,"(60, 106, 257, 303)",0.7605264,-6.069796605491904,f
8,"(307, 164, 494, 351)",0.99666876,-14.171230117348081,f
8,"(745, 18, 936, 210)",0.9686484,-6.662232266637875,f
8,"(560, 201, 739, 381)",0.96184325,19.046048510488976,m
8,"(60, 105, 259, 304)",0.7567414,-5.639511590508614,f
9,"(308, 163, 495, 351)",0.9965893,-13.925856503060318,f
9,"(746, 18, 938, 210)",0.9658649,-6.9665785202819634,f
9,"(558, 200, 741, 383)",0.951031,17.365561843147006,m
9,"(60, 104, 260, 304)",0.7622421,-5.5240292325008316,f
10,"(308, 163, 496, 350)",0.9965358,-13.3599709027482,f
10,"(746, 17, 939, 211)",0.96461564,-6.501239132097654,f
10,"(560, 201, 741, 382)",0.93053085,18.0721473656094,m
10,"(59, 104, 258, 303)",0.81451565,-6.4956332675006,f
11,"(309, 162, 496, 349)",0.9967399,-14.128189212109453,f
11,"(746, 18, 940, 211)",0.9672153,-6.645092994911551,f
11,"(559, 201, 741, 382)",0.922864,17.30518425792453,m
11,"(59, 104, 258, 303)",0.7674116,-5.25077074790736,f
12,"(310, 162, 496, 348)",0.99690896,-14.289017341600475,f
12,"(746, 17, 942, 213)",0.9678225,-6.372221321492178,f
12,"(560, 201, 739, 381)",0.9323286,17.268001882436383,m
12,"(70, 103, 257, 290)",0.75211036,-3.2494934420223807,f
13,"(310, 161, 496, 348)",0.9968736,-14.260297063372326,f
13,"(745, 17, 943, 215)",0.9731392,-5.5020285018332915,f
13,"(561, 201, 740, 380)",0.93239635,17.15452532692698,m
13,"(73, 103, 259, 290)",0.6846435,-5.770811462871222,f
14,"(310, 161, 496, 348)",0.99697673,-14.622668862527496,f
14,"(743, 17, 944, 217)",0.9692255,-5.234222250876238,f
14,"(561, 201, 739, 380)",0.9325728,17.785153664598607,m
14,"(68, 102, 256, 289)",0.78612894,-2.7826084437654637,f
15,"(310, 161, 497, 348)",0.99695265,-13.916767208714177,f
15,"(742, 17, 944, 218)",0.9695151,-6.123193081239096,f
15,"(561, 201, 740, 380)",0.9344656,17.465283428591903,m
15,"(68, 101, 256, 288)",0.8334749,-2.89660358830268,f
