frame,bb,face_id,face_detect_conf,tracking_conf,sex_label,sex_decision_function,avg_sex_decision_function,avg_sex_label
0,"(61, 100, 274, 313)",0,0.998,,f,-9.418,-9.679,f
0,"(951, -6, 1130, 173)",1,0.988,,m,11.651,11.401,m
0,"(743, 17, 933, 206)",2,0.987,,f,-6.322,-6.520,f
0,"(557, 199, 733, 375)",3,0.934,,m,18.188,16.904,m
0,"(312, 161, 496, 346)",4,0.809,,f,-12.741,-15.173,f
1,"(61, 100, 275, 314)",0,,27.877,f,-9.716,-9.679,f
1,"(951, -5, 1130, 174)",1,,27.540,m,11.691,11.401,m
1,"(744, 18, 933, 207)",2,,27.458,f,-6.430,-6.520,f
1,"(557, 199, 733, 375)",3,,27.914,m,17.957,16.904,m
1,"(312, 161, 497, 346)",4,,28.518,f,-13.114,-15.173,f
2,"(61, 101, 276, 315)",0,,26.778,f,-10.289,-9.679,f
2,"(951, -4, 1131, 175)",1,,28.059,m,11.820,11.401,m
2,"(744, 19, 933, 208)",2,,27.855,f,-7.317,-6.520,f
2,"(558, 200, 734, 376)",3,,27.863,m,18.926,16.904,m
2,"(312, 162, 497, 347)",4,,28.257,f,-12.413,-15.173,f
3,"(61, 102, 276, 317)",0,,27.425,f,-9.542,-9.679,f
3,"(951, -4, 1131, 175)",1,,25.679,m,11.550,11.401,m
3,"(744, 22, 926, 205)",2,,18.110,f,-5.546,-6.520,f
3,"(559, 200, 734, 376)",3,,27.995,m,19.033,16.904,m
3,"(312, 162, 497, 347)",4,,27.597,f,-11.890,-15.173,f
4,"(61, 102, 277, 317)",0,,25.579,f,-9.032,-9.679,f
4,"(951, -4, 1130, 174)",1,,26.128,m,11.030,11.401,m
4,"(743, 19, 936, 212)",2,,23.842,f,-7.077,-6.520,f
4,"(561, 199, 739, 377)",3,,21.425,m,19.007,16.904,m
4,"(312, 162, 497, 347)",4,,26.168,f,-12.604,-15.173,f
5,"(64, 107, 276, 319)",0,0.995,25.870,f,-10.944,-9.679,f
5,"(949, -6, 1130, 174)",1,0.988,27.225,m,11.666,11.401,m
5,"(744, 18, 932, 206)",2,0.977,19.574,f,-7.490,-6.520,f
5,"(559, 199, 735, 374)",3,0.954,27.613,m,19.374,16.904,m
5,"(311, 162, 497, 347)",4,0.784,28.666,f,-12.777,-15.173,f
6,"(64, 107, 276, 319)",0,,28.626,f,-9.954,-9.679,f
6,"(949, -7, 1130, 173)",1,,27.364,m,12.064,11.401,m
6,"(744, 17, 932, 205)",2,,26.646,f,-7.803,-6.520,f
6,"(562, 197, 740, 376)",3,,22.344,m,20.466,16.904,m
6,"(312, 159, 502, 350)",4,,22.239,f,-12.572,-15.173,f
7,"(65, 107, 277, 319)",0,,28.274,f,-9.268,-9.679,f
7,"(953, -7, 1133, 172)",1,,20.230,m,13.732,11.401,m
7,"(745, 14, 938, 207)",2,,20.560,f,-8.569,-6.520,f
7,"(560, 199, 736, 374)",3,,26.083,m,18.729,16.904,m
7,"(312, 161, 497, 347)",4,,25.918,f,-12.929,-15.173,f
8,"(66, 107, 278, 319)",0,,27.958,f,-7.539,-9.679,f
8,"(950, -8, 1131, 172)",1,,26.082,m,12.275,11.401,m
8,"(744, 16, 933, 205)",2,,25.674,f,-7.124,-6.520,f
8,"(563, 197, 742, 376)",3,,22.540,m,20.071,16.904,m
8,"(314, 159, 504, 350)",4,,23.380,f,-12.512,-15.173,f
9,"(68, 105, 286, 322)",0,,22.746,f,-8.689,-9.679,f
9,"(955, -7, 1134, 170)",1,,20.335,m,12.677,11.401,m
9,"(746, 13, 939, 207)",2,,21.297,f,-7.791,-6.520,f
9,"(562, 198, 738, 374)",3,,25.665,m,19.106,16.904,m
9,"(313, 161, 499, 347)",4,,25.949,f,-13.227,-15.173,f
10,"(65, 104, 280, 319)",0,0.995,27.322,f,-8.899,-9.679,f
10,"(952, -6, 1135, 176)",1,0.990,26.032,m,12.392,11.401,m
10,"(746, 16, 934, 205)",2,0.986,25.568,f,-5.525,-6.520,f
10,"(561, 198, 736, 373)",3,0.926,26.344,m,18.758,16.904,m
10,"(316, 161, 500, 345)",4,0.785,20.454,f,-12.603,-15.173,f
11,"(67, 102, 287, 321)",0,,22.152,f,-7.791,-9.679,f
11,"(956, -6, 1139, 176)",1,,22.666,m,10.454,11.401,m
11,"(746, 16, 934, 205)",2,,27.386,f,-5.597,-6.520,f
11,"(563, 196, 742, 375)",3,,21.851,m,19.744,16.904,m
11,"(317, 159, 505, 347)",4,,22.282,f,-12.839,-15.173,f
12,"(66, 102, 281, 318)",0,,26.953,f,-9.199,-9.679,f
12,"(953, -6, 1136, 176)",1,,26.583,m,12.508,11.401,m
12,"(746, 16, 935, 205)",2,,27.947,f,-4.103,-6.520,f
12,"(562, 197, 737, 372)",3,,25.716,m,18.549,16.904,m
12,"(317, 160, 501, 344)",4,,27.151,f,-14.127,-15.173,f
13,"(68, 99, 288, 319)",0,,21.493,f,-6.603,-9.679,f
13,"(957, -6, 1140, 176)",1,,20.508,m,12.970,11.401,m
13,"(746, 16, 935, 205)",2,,27.571,f,-3.847,-6.520,f
13,"(563, 195, 743, 374)",3,,20.645,m,20.380,16.904,m
13,"(318, 158, 506, 346)",4,,21.634,f,-12.943,-15.173,f
14,"(67, 101, 282, 315)",0,,25.927,f,-6.982,-9.679,f
14,"(953, -7, 1137, 176)",1,,25.808,m,12.634,11.401,m
14,"(746, 17, 935, 206)",2,,26.653,f,-3.933,-6.520,f
14,"(557, 194, 736, 374)",3,,17.552,m,19.783,16.904,m
14,"(315, 161, 497, 343)",4,,18.723,f,-13.250,-15.173,f
15,"(67, 101, 283, 317)",0,0.999,24.755,f,-8.066,-9.679,f
15,"(950, -7, 1133, 175)",1,0.987,19.573,m,12.236,11.401,m
15,"(745, 15, 939, 209)",2,0.987,24.991,f,-3.222,-6.520,f
15,"(562, 198, 736, 372)",3,0.939,21.028,m,17.856,16.904,m
15,"(316, 159, 501, 344)",4,0.779,26.824,f,-13.100,-15.173,f
16,"(67, 101, 283, 317)",0,,27.070,f,-8.695,-9.679,f
16,"(946, -6, 1129, 175)",1,,18.212,m,12.122,11.401,m
16,"(744, 15, 939, 210)",2,,27.672,f,-3.360,-6.520,f
16,"(560, 199, 732, 371)",3,,18.474,m,17.385,16.904,m
16,"(315, 161, 495, 341)",4,,18.625,f,-12.405,-15.173,f
17,"(65, 104, 277, 315)",0,,18.888,f,-6.647,-9.679,f
17,"(949, -7, 1133, 176)",1,,26.752,m,10.697,11.401,m
17,"(744, 19, 932, 207)",2,,19.679,f,-4.746,-6.520,f
17,"(565, 199, 739, 372)",3,,20.630,m,17.845,16.904,m
17,"(316, 157, 506, 346)",4,,20.489,f,-12.137,-15.173,f
18,"(66, 102, 282, 318)",0,,25.989,f,-8.836,-9.679,f
18,"(945, -7, 1129, 176)",1,,19.553,m,12.267,11.401,m
18,"(744, 17, 938, 211)",2,,25.524,f,-4.138,-6.520,f
18,"(563, 199, 733, 369)",3,,23.978,m,19.152,16.904,m
