frame,bbox,face_id,face_detect_conf,face_track_conf,sex_decfunc,age_decfunc,sex_label,age_label,sex_decfunc_avg,age_decfunc_avg,sex_label_avg,age_label_avg
0,"(61, 100, 274, 313)",0,0.998,,-12.125,3.164,f,26.637,-13.488,3.298,f,27.982
0,"(951, -6, 1130, 172)",1,0.988,,8.21,3.815,m,33.151,8.146,3.753,m,32.527
0,"(744, 17, 932, 206)",2,0.987,,-8.046,2.439,f,19.393,-7.882,2.371,f,18.712
0,"(557, 198, 733, 374)",3,0.934,,8.402,2.761,m,22.614,7.149,2.777,m,22.765
0,"(312, 161, 497, 346)",4,0.809,,-11.263,2.952,f,24.521,-9.896,2.846,f,23.462
10,"(71, 105, 281, 314)",0,,22.637,-13.279,3.42,f,29.199,-13.488,3.298,f,27.982
10,"(957, -7, 1134, 168)",1,,22.21,9.134,3.648,m,31.483,8.146,3.753,m,32.527
10,"(745, 14, 940, 208)",2,,21.371,-8.759,2.523,f,20.226,-7.882,2.371,f,18.712
10,"(561, 196, 737, 372)",3,,23.665,11.145,2.815,m,23.154,7.149,2.777,m,22.765
10,"(316, 160, 504, 348)",4,,21.523,-11.03,2.953,f,24.53,-9.896,2.846,f,23.462
20,"(67, 100, 281, 313)",0,,23.219,-13.954,3.343,f,28.432,-13.488,3.298,f,27.982
20,"(952, -8, 1131, 170)",1,,22.998,8.027,3.986,m,34.864,8.146,3.753,m,32.527
20,"(743, 23, 926, 206)",2,,17.644,-9.269,2.621,f,21.212,-7.882,2.371,f,18.712
20,"(564, 199, 738, 373)",3,,22.571,9.823,2.94,m,24.402,7.149,2.777,m,22.765
20,"(315, 159, 502, 346)",4,,25.606,-9.923,2.819,f,23.186,-9.896,2.846,f,23.462
30,"(60, 105, 277, 322)",0,,23.3,-12.78,3.492,f,29.921,-13.488,3.298,f,27.982
30,"(947, -6, 1127, 172)",1,,25.75,8.356,3.797,m,32.971,8.146,3.753,m,32.527
30,"(738, 23, 918, 204)",2,,16.383,-8.992,2.599,f,20.995,-7.882,2.371,f,18.712
30,"(562, 204, 737, 379)",3,,15.615,5.193,2.929,m,24.294,7.149,2.777,m,22.765
30,"(309, 161, 495, 347)",4,,23.631,-10.428,2.884,f,23.837,-9.896,2.846,f,23.462
40,"(61, 106, 274, 319)",0,,21.593,-13.837,3.341,f,28.405,-13.488,3.298,f,27.982
40,"(938, -6, 1119, 173)",1,,21.931,6.778,3.794,m,32.94,8.146,3.753,m,32.527
40,"(734, 23, 914, 203)",2,,17.001,-7.68,2.552,f,20.518,-7.882,2.371,f,18.712
40,"(563, 206, 739, 383)",3,,18.123,6.233,3.038,m,25.381,7.149,2.777,m,22.765
40,"(315, 162, 502, 350)",4,,18.647,-9.82,2.817,f,23.168,-9.896,2.846,f,23.462
50,"(60, 109, 272, 321)",0,0.997,19.81,-13.157,3.305,f,28.046,-13.488,3.298,f,27.982
50,"(939, -9, 1118, 169)",1,0.918,23.858,8.063,3.722,m,32.219,8.146,3.753,m,32.527
50,"(728, 20, 923, 215)",2,0.91,22.576,-8.216,2.346,f,18.461,-7.882,2.371,f,18.712
50,"(560, 205, 739, 384)",3,0.833,15.647,7.511,2.869,m,23.69,7.149,2.777,m,22.765
50,"(318, 169, 489, 339)",4,0.672,19.923,-10.289,2.757,f,22.57,-9.896,2.846,f,23.462
60,"(58, 111, 265, 318)",0,,19.054,-12.265,3.322,f,28.216,-13.488,3.298,f,27.982
60,"(946, -9, 1122, 165)",1,,26.008,7.912,3.77,m,32.703,8.146,3.753,m,32.527
