frame,bb,face_id,face_detect_conf,tracking_conf,sex_label,sex_decision_function,sex_decision_function_avg,sex_label_avg
0,"(61, 100, 274, 313)",0,0.998,,f,-9.418,-9.287,f
0,"(951, -6, 1130, 172)",1,0.988,,m,11.824,11.246,m
0,"(744, 17, 932, 206)",2,0.987,,f,-6.632,-6.382,f
0,"(557, 198, 733, 374)",3,0.934,,m,18.387,16.392,m
0,"(312, 161, 497, 346)",4,0.809,,f,-12.884,-15.673,f
10,"(71, 105, 281, 314)",0,,22.637,f,-9.503,-9.287,f
10,"(957, -7, 1134, 168)",1,,22.210,m,12.256,11.246,m
10,"(745, 14, 940, 208)",2,,21.371,f,-6.203,-6.382,f
10,"(561, 196, 737, 372)",3,,23.665,m,19.265,16.392,m
10,"(316, 160, 504, 348)",4,,21.523,f,-12.200,-15.673,f
20,"(67, 100, 281, 313)",0,,23.219,f,-8.031,-9.287,f
20,"(952, -8, 1131, 170)",1,,22.998,m,12.611,11.246,m
20,"(743, 23, 926, 206)",2,,17.644,f,-4.547,-6.382,f
20,"(564, 199, 738, 373)",3,,22.571,m,17.699,16.392,m
20,"(315, 159, 502, 346)",4,,25.606,f,-14.551,-15.673,f
30,"(60, 105, 277, 322)",0,,23.300,f,-9.545,-9.287,f
30,"(947, -6, 1127, 172)",1,,25.750,m,13.025,11.246,m
30,"(738, 23, 918, 204)",2,,16.383,f,-7.460,-6.382,f
30,"(562, 204, 737, 379)",3,,15.615,m,16.658,16.392,m
30,"(309, 161, 495, 347)",4,,23.631,f,-12.978,-15.673,f
40,"(61, 106, 274, 319)",0,,21.593,f,-10.422,-9.287,f
40,"(938, -6, 1119, 173)",1,,21.931,m,10.794,11.246,m
40,"(734, 23, 914, 203)",2,,17.001,f,-6.278,-6.382,f
40,"(563, 206, 739, 383)",3,,18.123,m,15.289,16.392,m
40,"(315, 162, 502, 350)",4,,18.647,f,-17.604,-15.673,f
50,"(60, 109, 272, 321)",0,0.997,19.810,f,-9.655,-9.287,f
50,"(939, -9, 1118, 169)",1,0.918,23.858,m,9.192,11.246,m
50,"(728, 20, 923, 215)",2,0.910,22.576,f,-7.404,-6.382,f
50,"(560, 205, 739, 384)",3,0.833,15.647,m,18.042,16.392,m
50,"(318, 169, 489, 339)",4,0.672,19.923,f,-17.942,-15.673,f
60,"(58, 111, 265, 318)",0,,19.054,f,-8.462,-9.287,f
60,"(946, -9, 1122, 165)",1,,26.008,m,10.473,11.246,m
60,"(731, 12, 922, 204)",2,,24.735,f,-6.735,-6.382,f
60,"(562, 200, 741, 378)",3,,9.817,m,9.405,16.392,m
60,"(323, 164, 492, 333)",4,,23.438,f,-18.766,-15.673,f
70,"(62, 110, 284, 332)",0,,17.381,f,-10.636,-9.287,f
70,"(951, -9, 1127, 166)",1,,21.239,m,9.019,11.246,m
70,"(734, 0, 922, 188)",2,,21.372,f,-7.510,-6.382,f
70,"(325, 159, 493, 328)",4,,11.827,f,-10.509,-15.673,f
80,"(61, 108, 275, 322)",0,,22.456,f,-10.508,-9.287,f
80,"(956, -9, 1117, 152)",1,,18.593,m,13.809,11.246,m
80,"(732, 12, 916, 196)",2,,19.048,f,-5.868,-6.382,f
80,"(331, 166, 502, 337)",4,,23.446,f,-19.102,-15.673,f
90,"(52, 105, 260, 312)",0,,22.372,f,-10.486,-9.287,f
90,"(949, -8, 1115, 157)",1,,18.467,m,15.025,11.246,m
90,"(736, 5, 914, 184)",2,,18.945,f,-5.181,-6.382,f
90,"(326, 150, 498, 322)",4,,17.022,f,-20.190,-15.673,f
100,"(53, 105, 257, 309)",0,0.979,18.912,f,-7.749,-9.287,f
100,"(953, -17, 1111, 140)",1,0.791,12.723,m,13.478,11.246,m
110,"(58, 100, 262, 303)",0,,21.918,f,-9.872,-9.287,f
110,"(944, -18, 1105, 141)",1,,19.230,m,12.915,11.246,m
120,"(61, 96, 262, 297)",0,,22.295,f,-11.063,-9.287,f
120,"(953, -10, 1110, 147)",1,,24.537,m,11.061,11.246,m
130,"(70, 98, 268, 297)",0,,18.833,f,-12.768,-9.287,f
130,"(948, -10, 1112, 153)",1,,21.908,m,10.851,11.246,m
140,"(68, 104, 266, 302)",0,,22.431,f,-9.679,-9.287,f
140,"(948, 0, 1109, 159)",1,,21.464,m,11.228,11.246,m
150,"(56, 104, 258, 306)",0,0.988,16.934,f,-6.446,-9.287,f
150,"(942, -21, 1110, 146)",1,0.720,22.730,m,9.391,11.246,m
150,"(571, 199, 731, 359)",5,0.832,,m,15.446,12.057,m
150,"(717, -7, 906, 181)",6,0.673,,m,3.893,3.893,m
160,"(51, 106, 252, 307)",0,,21.445,f,-7.029,-9.287,f
160,"(938, -20, 1098, 140)",1,,14.648,m,7.956,11.246,m
160,"(573, 202, 737, 366)",5,,18.551,m,14.163,12.057,m
170,"(46, 109, 246, 309)",0,,20.035,f,-10.648,-9.287,f
170,"(938, -31, 1107, 137)",1,,17.548,m,7.654,11.246,m
170,"(564, 202, 729, 367)",5,,14.809,m,13.788,12.057,m
180,"(41, 111, 233, 302)",0,,19.242,f,-6.879,-9.287,f
180,"(933, -30, 1102, 138)",1,,13.271,m,11.108,11.246,m
180,"(560, 195, 727, 363)",5,,17.352,m,15.889,12.057,m
190,"(44, 95, 240, 291)",0,,15.039,f,-6.015,-9.287,f
190,"(565, 184, 731, 350)",5,,18.347,m,9.269,12.057,m
200,"(25, 92, 240, 307)",0,0.968,15.271,f,-10.209,-9.287,f
200,"(574, 187, 741, 354)",5,0.816,13.859,m,6.317,12.057,m
210,"(574, 174, 738, 338)",5,,8.264,m,9.527,12.057,m
250,"(807, 92, 938, 223)",7,0.998,,f,-7.857,-9.331,f
250,"(253, 109, 405, 261)",8,0.983,,f,-15.989,-16.606,f
250,"(582, 222, 753, 392)",9,0.729,,m,10.685,10.685,m
260,"(820, 78, 951, 209)",7,,17.851,f,-13.509,-9.331,f
260,"(250, 110, 402, 262)",8,,19.283,f,-16.637,-16.606,f
270,"(846, 58, 977, 189)",7,,8.050,f,-10.047,-9.331,f
270,"(250, 101, 404, 256)",8,,12.543,f,-17.191,-16.606,f
280,"(870, 63, 1005, 197)",7,,10.794,f,-10.072,-9.331,f
290,"(859, 80, 989, 210)",7,,8.637,f,-6.562,-9.331,f
300,"(872, 90, 996, 215)",7,0.996,8.508,f,-9.389,-9.331,f
300,"(-15, 146, 203, 365)",10,0.998,,f,-11.810,-10.292,f
300,"(332, 150, 466, 284)",11,0.975,,f,-17.132,-17.320,f
300,"(594, 253, 764, 424)",12,0.797,,m,14.549,14.811,m
310,"(880, 98, 1010, 228)",7,,17.422,f,-8.334,-9.331,f
310,"(19, 152, 231, 364)",10,,11.315,f,-8.774,-10.292,f
310,"(342, 159, 478, 295)",11,,17.179,f,-17.939,-17.320,f
310,"(590, 262, 760, 432)",12,,18.219,m,15.977,14.811,m
320,"(886, 94, 1016, 224)",7,,20.382,f,-5.267,-9.331,f
320,"(341, 168, 477, 305)",11,,18.860,f,-16.256,-17.320,f
320,"(598, 277, 766, 445)",12,,12.707,m,16.422,14.811,m
330,"(884, 91, 1019, 226)",7,,14.721,f,-8.959,-9.331,f
330,"(335, 166, 473, 304)",11,,19.014,f,-20.024,-17.320,f
330,"(598, 283, 764, 448)",12,,15.332,m,14.606,14.811,m
340,"(877, 77, 1015, 215)",7,,9.916,f,-9.588,-9.331,f
340,"(332, 136, 478, 282)",11,,11.205,f,-15.325,-17.320,f
340,"(604, 270, 772, 438)",12,,14.795,m,14.777,14.811,m
350,"(873, 67, 1006, 201)",7,0.996,9.021,f,-13.051,-9.331,f
350,"(336, 122, 473, 259)",11,0.962,20.348,f,-17.242,-17.320,f
350,"(612, 261, 791, 439)",12,0.947,13.846,m,12.538,14.811,m
